EXOPLANET CANDIDATE RANKING — PHASE 9 FINAL OUTPUT
============================================================

Total candidates evaluated: 1979
HIGH confidence (score ≥ 0.80): 1112
MEDIUM confidence (0.50–0.79):  90
LOW / False Positives:          777

Rank   Cand. Index    Score        Tier       Agreement
51     429            0.9997       HIGH       5/5
52     465            0.9997       HIGH       5/5
53     823            0.9997       HIGH       5/5
54     801            0.9997       HIGH       5/5
55     796            0.9997       HIGH       5/5
56     799            0.9997       HIGH       5/5
57     795            0.9997       HIGH       5/5
58     793            0.9997       HIGH       5/5
59     463            0.9997       HIGH       5/5
60     357            0.9997       HIGH       5/5
61     390            0.9997       HIGH       5/5
62     380            0.9997       HIGH       5/5
63     359            0.9997       HIGH       5/5
64     371            0.9997       HIGH       5/5
65     347            0.9997       HIGH       5/5
66     938            0.9997       HIGH       5/5
67     407            0.9997       HIGH       5/5
68     318            0.9997       HIGH       5/5
69     335            0.9997       HIGH       5/5
70     323            0.9997       HIGH       5/5
71     342            0.9997       HIGH       5/5
72     343            0.9997       HIGH       5/5
73     1850           0.9997       HIGH       5/5
74     344            0.9997       HIGH       5/5
75     345            0.9997       HIGH       5/5
76     253            0.9997       HIGH       5/5
77     90             0.9997       HIGH       5/5
78     725            0.9997       HIGH       5/5
79     710            0.9997       HIGH       5/5
80     706            0.9997       HIGH       5/5
81     684            0.9997       HIGH       5/5
82     717            0.9997       HIGH       5/5
83     672            0.9997       HIGH       5/5
84     681            0.9997       HIGH       5/5
85     15             0.9997       HIGH       5/5
86     18             0.9997       HIGH       5/5
87     666            0.9997       HIGH       5/5
88     658            0.9997       HIGH       5/5
89     1626           0.9997       HIGH       5/5
90     107            0.9997       HIGH       5/5
91     1529           0.9997       HIGH       5/5
92     1610           0.9997       HIGH       5/5
93     738            0.9997       HIGH       5/5
94     66             0.9997       HIGH       5/5
95     83             0.9997       HIGH       5/5
96     98             0.9997       HIGH       5/5
97     85             0.9997       HIGH       5/5
98     685            0.9997       HIGH       5/5
99     626            0.9997       HIGH       5/5
100    1772           0.9997       HIGH       5/5
101    1744           0.9997       HIGH       5/5
102    740            0.9997       HIGH       5/5
103    733            0.9997       HIGH       5/5
104    1746           0.9997       HIGH       5/5
105    559            0.9997       HIGH       5/5
106    774            0.9997       HIGH       5/5
107    1788           0.9997       HIGH       5/5
108    1968           0.9997       HIGH       5/5
109    501            0.9997       HIGH       5/5
110    554            0.9997       HIGH       5/5
111    499            0.9997       HIGH       5/5
112    1752           0.9997       HIGH       5/5
113    1747           0.9997       HIGH       5/5
114    68             0.9997       HIGH       5/5
115    1530           0.9997       HIGH       5/5
116    94             0.9997       HIGH       5/5
117    80             0.9997       HIGH       5/5
118    642            0.9997       HIGH       5/5
119    645            0.9997       HIGH       5/5
120    770            0.9997       HIGH       5/5
121    769            0.9997       HIGH       5/5
122    619            0.9997       HIGH       5/5
123    479            0.9997       HIGH       5/5
124    737            0.9997       HIGH       5/5
125    862            0.9997       HIGH       5/5
126    116            0.9997       HIGH       5/5
127    169            0.9997       HIGH       5/5
128    1426           0.9997       HIGH       5/5
129    182            0.9997       HIGH       5/5
130    173            0.9997       HIGH       5/5
131    160            0.9997       HIGH       5/5
132    110            0.9997       HIGH       5/5
133    1112           0.9997       HIGH       5/5
134    204            0.9997       HIGH       5/5
135    145            0.9997       HIGH       5/5
136    258            0.9997       HIGH       5/5
137    1147           0.9997       HIGH       5/5
138    1122           0.9997       HIGH       5/5
139    824            0.9997       HIGH       5/5
140    1707           0.9997       HIGH       5/5
141    399            0.9997       HIGH       5/5
142    439            0.9997       HIGH       5/5
143    911            0.9997       HIGH       5/5
144    337            0.9997       HIGH       5/5
145    1863           0.9997       HIGH       5/5
146    1885           0.9997       HIGH       5/5
147    314            0.9997       HIGH       5/5
148    368            0.9997       HIGH       5/5
149    846            0.9997       HIGH       5/5
150    437            0.9997       HIGH       5/5
151    1848           0.9997       HIGH       5/5
152    423            0.9997       HIGH       5/5
153    813            0.9997       HIGH       5/5
154    268            0.9997       HIGH       5/5
155    1371           0.9997       HIGH       5/5
156    1900           0.9997       HIGH       5/5
157    136            0.9997       HIGH       5/5
158    303            0.9997       HIGH       5/5
159    978            0.9997       HIGH       5/5
160    235            0.9997       HIGH       5/5
161    223            0.9997       HIGH       5/5
162    210            0.9997       HIGH       5/5
163    211            0.9997       HIGH       5/5
164    1271           0.9997       HIGH       5/5
165    122            0.9997       HIGH       5/5
166    124            0.9997       HIGH       5/5
167    132            0.9997       HIGH       5/5
168    1448           0.9997       HIGH       5/5
169    1433           0.9997       HIGH       5/5
170    1409           0.9997       HIGH       5/5
171    942            0.9997       HIGH       5/5
172    927            0.9997       HIGH       5/5
173    810            0.9997       HIGH       5/5
174    446            0.9997       HIGH       5/5
175    847            0.9997       HIGH       5/5
176    443            0.9997       HIGH       5/5
177    1819           0.9997       HIGH       5/5
178    1818           0.9997       HIGH       5/5
179    892            0.9997       HIGH       5/5
180    415            0.9997       HIGH       5/5
181    883            0.9997       HIGH       5/5
182    1866           0.9997       HIGH       5/5
183    404            0.9997       HIGH       5/5
184    375            0.9997       HIGH       5/5
185    369            0.9997       HIGH       5/5
186    1717           0.9997       HIGH       5/5
187    534            0.9997       HIGH       5/5
188    781            0.9997       HIGH       5/5
189    1763           0.9997       HIGH       5/5
190    584            0.9997       HIGH       5/5
191    1779           0.9997       HIGH       5/5
192    1764           0.9997       HIGH       5/5
193    1765           0.9997       HIGH       5/5
194    529            0.9997       HIGH       5/5
195    493            0.9997       HIGH       5/5
196    495            0.9997       HIGH       5/5
197    507            0.9997       HIGH       5/5
198    674            0.9997       HIGH       5/5
199    728            0.9997       HIGH       5/5
200    682            0.9997       HIGH       5/5
201    102            0.9997       HIGH       5/5
202    77             0.9997       HIGH       5/5
203    76             0.9997       HIGH       5/5
204    65             0.9997       HIGH       5/5
205    1569           0.9997       HIGH       5/5
206    751            0.9997       HIGH       5/5
207    496            0.9997       HIGH       5/5
208    744            0.9997       HIGH       5/5
209    615            0.9997       HIGH       5/5
210    312            0.9997       HIGH       5/5
211    324            0.9997       HIGH       5/5
212    305            0.9997       HIGH       5/5
213    937            0.9997       HIGH       5/5
214    434            0.9997       HIGH       5/5
215    872            0.9997       HIGH       5/5
216    1824           0.9997       HIGH       5/5
217    780            0.9997       HIGH       5/5
218    138            0.9997       HIGH       5/5
219    143            0.9997       HIGH       5/5
220    242            0.9997       HIGH       5/5
221    244            0.9997       HIGH       5/5
222    1797           0.9997       HIGH       5/5
223    1800           0.9997       HIGH       5/5
224    475            0.9997       HIGH       5/5
225    868            0.9997       HIGH       5/5
226    99             0.9997       HIGH       5/5
227    640            0.9997       HIGH       5/5
228    43             0.9997       HIGH       5/5
229    1684           0.9997       HIGH       5/5
230    346            0.9997       HIGH       5/5
231    461            0.9997       HIGH       5/5
232    462            0.9997       HIGH       5/5
233    297            0.9997       HIGH       5/5
234    912            0.9997       HIGH       5/5
235    1027           0.9997       HIGH       5/5
236    248            0.9997       HIGH       5/5
237    1831           0.9997       HIGH       5/5
238    86             0.9997       HIGH       5/5
239    605            0.9997       HIGH       5/5
240    16             0.9997       HIGH       5/5
241    1560           0.9997       HIGH       5/5
242    573            0.9997       HIGH       5/5
243    482            0.9997       HIGH       5/5
244    852            0.9997       HIGH       5/5
245    1459           0.9997       HIGH       5/5
246    241            0.9997       HIGH       5/5
247    1754           0.9997       HIGH       5/5
248    73             0.9997       HIGH       5/5
249    735            0.9997       HIGH       5/5
250    1525           0.9997       HIGH       5/5
251    1538           0.9997       HIGH       5/5
252    203            0.9997       HIGH       5/5
253    209            0.9997       HIGH       5/5
254    1281           0.9997       HIGH       5/5
255    1369           0.9997       HIGH       5/5
256    304            0.9997       HIGH       5/5
257    994            0.9997       HIGH       5/5
258    477            0.9997       HIGH       5/5
259    1808           0.9997       HIGH       5/5
260    398            0.9997       HIGH       5/5
261    1588           0.9997       HIGH       5/5
262    593            0.9997       HIGH       5/5
263    546            0.9997       HIGH       5/5
264    818            0.9997       HIGH       5/5
265    890            0.9997       HIGH       5/5
266    114            0.9997       HIGH       5/5
267    1602           0.9997       HIGH       5/5
268    494            0.9997       HIGH       5/5
269    1804           0.9997       HIGH       5/5
270    841            0.9997       HIGH       5/5
271    202            0.9997       HIGH       5/5
272    940            0.9997       HIGH       5/5
273    373            0.9997       HIGH       5/5
274    14             0.9997       HIGH       5/5
275    1842           0.9997       HIGH       5/5
276    172            0.9997       HIGH       5/5
277    1293           0.9997       HIGH       5/5
278    574            0.9997       HIGH       5/5
279    623            0.9997       HIGH       5/5
280    1548           0.9997       HIGH       5/5
281    12             0.9997       HIGH       5/5
282    486            0.9997       HIGH       5/5
283    60             0.9997       HIGH       5/5
284    1769           0.9997       HIGH       5/5
285    1781           0.9997       HIGH       5/5
286    388            0.9997       HIGH       5/5
287    432            0.9997       HIGH       5/5
288    592            0.9997       HIGH       5/5
289    705            0.9997       HIGH       5/5
290    431            0.9997       HIGH       5/5
291    440            0.9997       HIGH       5/5
292    292            0.9997       HIGH       5/5
293    403            0.9997       HIGH       5/5
294    1880           0.9997       HIGH       5/5
295    1421           0.9997       HIGH       5/5
296    1482           0.9997       HIGH       5/5
297    1485           0.9997       HIGH       5/5
298    819            0.9997       HIGH       5/5
299    812            0.9997       HIGH       5/5
300    1018           0.9997       HIGH       5/5
301    904            0.9997       HIGH       5/5
302    1690           0.9997       HIGH       5/5
303    400            0.9997       HIGH       5/5
304    1864           0.9997       HIGH       5/5
305    194            0.9997       HIGH       5/5
306    832            0.9997       HIGH       5/5
307    1157           0.9997       HIGH       5/5
308    696            0.9997       HIGH       5/5
309    1803           0.9997       HIGH       5/5
310    797            0.9997       HIGH       5/5
311    1689           0.9997       HIGH       5/5
312    170            0.9997       HIGH       5/5
313    54             0.9997       HIGH       5/5
314    842            0.9997       HIGH       5/5
315    791            0.9997       HIGH       5/5
316    631            0.9997       HIGH       5/5
317    805            0.9997       HIGH       5/5
318    338            0.9997       HIGH       5/5
319    180            0.9997       HIGH       5/5
320    1645           0.9997       HIGH       5/5
321    580            0.9997       HIGH       5/5
322    255            0.9997       HIGH       5/5
323    730            0.9997       HIGH       5/5
324    237            0.9997       HIGH       5/5
325    713            0.9997       HIGH       5/5
326    715            0.9997       HIGH       5/5
327    381            0.9997       HIGH       5/5
328    217            0.9997       HIGH       5/5
329    430            0.9997       HIGH       5/5
330    676            0.9997       HIGH       5/5
331    227            0.9997       HIGH       5/5
332    1009           0.9997       HIGH       5/5
333    596            0.9997       HIGH       5/5
334    129            0.9997       HIGH       5/5
335    620            0.9997       HIGH       5/5
336    416            0.9997       HIGH       5/5
337    825            0.9997       HIGH       5/5
338    272            0.9997       HIGH       5/5
339    370            0.9997       HIGH       5/5
340    1506           0.9997       HIGH       5/5
341    510            0.9997       HIGH       5/5
342    768            0.9997       HIGH       5/5
343    962            0.9997       HIGH       5/5
344    863            0.9997       HIGH       5/5
345    158            0.9997       HIGH       5/5
346    125            0.9997       HIGH       5/5
347    141            0.9997       HIGH       5/5
348    663            0.9997       HIGH       5/5
349    367            0.9997       HIGH       5/5
350    544            0.9997       HIGH       5/5
351    326            0.9997       HIGH       5/5
352    308            0.9997       HIGH       5/5
353    239            0.9997       HIGH       5/5
354    739            0.9997       HIGH       5/5
355    934            0.9997       HIGH       5/5
356    1576           0.9997       HIGH       5/5
357    707            0.9997       HIGH       5/5
358    594            0.9997       HIGH       5/5
359    137            0.9997       HIGH       5/5
360    427            0.9997       HIGH       5/5
361    628            0.9997       HIGH       5/5
362    1735           0.9997       HIGH       5/5
363    924            0.9997       HIGH       5/5
364    568            0.9997       HIGH       5/5
365    397            0.9997       HIGH       5/5
366    231            0.9997       HIGH       5/5
367    563            0.9997       HIGH       5/5
368    435            0.9997       HIGH       5/5
369    1767           0.9997       HIGH       5/5
370    330            0.9997       HIGH       5/5
371    821            0.9997       HIGH       5/5
372    560            0.9997       HIGH       5/5
373    827            0.9997       HIGH       5/5
374    171            0.9997       HIGH       5/5
375    267            0.9997       HIGH       5/5
376    803            0.9997       HIGH       5/5
377    1452           0.9997       HIGH       5/5
378    789            0.9997       HIGH       5/5
379    294            0.9997       HIGH       5/5
380    458            0.9997       HIGH       5/5
381    783            0.9997       HIGH       5/5
382    5              0.9997       HIGH       5/5
383    50             0.9997       HIGH       5/5
384    321            0.9997       HIGH       5/5
385    256            0.9997       HIGH       5/5
386    442            0.9997       HIGH       5/5
387    519            0.9997       HIGH       5/5
388    1740           0.9997       HIGH       5/5
389    814            0.9997       HIGH       5/5
390    360            0.9997       HIGH       5/5
391    17             0.9997       HIGH       5/5
392    907            0.9997       HIGH       5/5
393    240            0.9997       HIGH       5/5
394    1606           0.9997       HIGH       5/5
395    843            0.9997       HIGH       5/5
396    591            0.9997       HIGH       5/5
397    537            0.9997       HIGH       5/5
398    1722           0.9997       HIGH       5/5
399    1751           0.9997       HIGH       5/5
400    598            0.9997       HIGH       5/5
401    466            0.9997       HIGH       5/5
402    1454           0.9997       HIGH       5/5
403    385            0.9997       HIGH       5/5
404    36             0.9997       HIGH       5/5
405    656            0.9997       HIGH       5/5
406    280            0.9997       HIGH       5/5
407    505            0.9997       HIGH       5/5
408    885            0.9997       HIGH       5/5
409    576            0.9997       HIGH       5/5
410    406            0.9997       HIGH       5/5
411    333            0.9997       HIGH       5/5
412    1547           0.9997       HIGH       5/5
413    1567           0.9997       HIGH       5/5
414    464            0.9997       HIGH       5/5
415    581            0.9997       HIGH       5/5
416    264            0.9997       HIGH       5/5
417    1583           0.9997       HIGH       5/5
418    150            0.9997       HIGH       5/5
419    276            0.9997       HIGH       5/5
420    1522           0.9997       HIGH       5/5
421    1916           0.9997       HIGH       5/5
422    1658           0.9997       HIGH       5/5
423    224            0.9997       HIGH       5/5
424    284            0.9997       HIGH       5/5
425    766            0.9997       HIGH       5/5
426    1585           0.9997       HIGH       5/5
427    1940           0.9997       HIGH       5/5
428    748            0.9997       HIGH       5/5
429    300            0.9997       HIGH       5/5
430    449            0.9997       HIGH       5/5
431    582            0.9997       HIGH       5/5
432    787            0.9997       HIGH       5/5
433    1844           0.9997       HIGH       5/5
434    473            0.9997       HIGH       5/5
435    19             0.9997       HIGH       5/5
436    331            0.9997       HIGH       5/5
437    1733           0.9997       HIGH       5/5
438    1662           0.9997       HIGH       5/5
439    261            0.9997       HIGH       5/5
440    549            0.9997       HIGH       5/5
441    1450           0.9997       HIGH       5/5
442    29             0.9997       HIGH       5/5
443    311            0.9997       HIGH       5/5
444    451            0.9997       HIGH       5/5
445    1417           0.9997       HIGH       5/5
446    123            0.9997       HIGH       5/5
447    1258           0.9997       HIGH       5/5
448    278            0.9997       HIGH       5/5
449    1581           0.9997       HIGH       5/5
450    1867           0.9997       HIGH       5/5
451    226            0.9997       HIGH       5/5
452    93             0.9997       HIGH       5/5
453    538            0.9997       HIGH       5/5
454    1573           0.9997       HIGH       5/5
455    1694           0.9997       HIGH       5/5
456    455            0.9997       HIGH       5/5
457    1441           0.9997       HIGH       5/5
458    1675           0.9997       HIGH       5/5
459    873            0.9997       HIGH       5/5
460    92             0.9997       HIGH       5/5
461    1823           0.9997       HIGH       5/5
462    897            0.9997       HIGH       5/5
463    590            0.9997       HIGH       5/5
464    147            0.9997       HIGH       5/5
465    1755           0.9997       HIGH       5/5
466    1841           0.9997       HIGH       5/5
467    1132           0.9997       HIGH       5/5
468    176            0.9997       HIGH       5/5
469    456            0.9997       HIGH       5/5
470    624            0.9997       HIGH       5/5
471    831            0.9997       HIGH       5/5
472    287            0.9997       HIGH       5/5
473    51             0.9997       HIGH       5/5
474    1              0.9997       HIGH       5/5
475    586            0.9997       HIGH       5/5
476    350            0.9997       HIGH       5/5
477    148            0.9997       HIGH       5/5
478    635            0.9997       HIGH       5/5
479    88             0.9997       HIGH       5/5
480    1436           0.9997       HIGH       5/5
481    1171           0.9997       HIGH       5/5
482    205            0.9997       HIGH       5/5
483    798            0.9997       HIGH       5/5
484    20             0.9997       HIGH       5/5
485    1418           0.9997       HIGH       5/5
486    1748           0.9997       HIGH       5/5
487    727            0.9997       HIGH       5/5
488    31             0.9997       HIGH       5/5
489    1479           0.9997       HIGH       5/5
490    1108           0.9997       HIGH       5/5
491    387            0.9997       HIGH       5/5
492    667            0.9997       HIGH       5/5
493    1660           0.9997       HIGH       5/5
494    776            0.9997       HIGH       5/5
495    856            0.9997       HIGH       5/5
496    809            0.9997       HIGH       5/5
497    566            0.9997       HIGH       5/5
498    632            0.9997       HIGH       5/5
499    764            0.9997       HIGH       5/5
500    1458           0.9997       HIGH       5/5
501    1770           0.9997       HIGH       5/5
502    364            0.9997       HIGH       5/5
503    234            0.9997       HIGH       5/5
504    366            0.9997       HIGH       5/5
505    1730           0.9997       HIGH       5/5
506    545            0.9997       HIGH       5/5
507    678            0.9997       HIGH       5/5
508    193            0.9997       HIGH       5/5
509    572            0.9997       HIGH       5/5
510    349            0.9997       HIGH       5/5
511    243            0.9997       HIGH       5/5
512    916            0.9997       HIGH       5/5
513    1609           0.9997       HIGH       5/5
514    603            0.9997       HIGH       5/5
515    185            0.9997       HIGH       5/5
516    702            0.9997       HIGH       5/5
517    420            0.9997       HIGH       5/5
518    1368           0.9997       HIGH       5/5
519    646            0.9997       HIGH       5/5
520    238            0.9997       HIGH       5/5
521    533            0.9997       HIGH       5/5
522    3              0.9997       HIGH       5/5
523    1032           0.9997       HIGH       5/5
524    947            0.9997       HIGH       5/5
525    190            0.9997       HIGH       5/5
526    82             0.9997       HIGH       5/5
527    395            0.9997       HIGH       5/5
528    1806           0.9997       HIGH       5/5
529    512            0.9997       HIGH       5/5
530    629            0.9997       HIGH       5/5
531    1051           0.9997       HIGH       5/5
532    1004           0.9997       HIGH       5/5
533    164            0.9997       HIGH       5/5
534    773            0.9997       HIGH       5/5
535    288            0.9997       HIGH       5/5
536    1188           0.9997       HIGH       5/5
537    128            0.9997       HIGH       5/5
538    815            0.9997       HIGH       5/5
539    356            0.9997       HIGH       5/5
540    526            0.9997       HIGH       5/5
541    101            0.9997       HIGH       5/5
542    471            0.9997       HIGH       5/5
543    547            0.9997       HIGH       5/5
544    834            0.9997       HIGH       5/5
545    599            0.9997       HIGH       5/5
546    105            0.9997       HIGH       5/5
547    32             0.9997       HIGH       5/5
548    310            0.9997       HIGH       5/5
549    504            0.9997       HIGH       5/5
550    910            0.9997       HIGH       5/5
551    879            0.9997       HIGH       5/5
552    687            0.9997       HIGH       5/5
553    283            0.9997       HIGH       5/5
554    662            0.9997       HIGH       5/5
555    1531           0.9997       HIGH       5/5
556    131            0.9997       HIGH       5/5
557    690            0.9997       HIGH       5/5
558    219            0.9997       HIGH       5/5
559    340            0.9997       HIGH       5/5
560    365            0.9997       HIGH       5/5
561    281            0.9997       HIGH       5/5
562    498            0.9997       HIGH       5/5
563    1749           0.9997       HIGH       5/5
564    625            0.9997       HIGH       5/5
565    214            0.9997       HIGH       5/5
566    71             0.9997       HIGH       5/5
567    55             0.9997       HIGH       5/5
568    836            0.9997       HIGH       5/5
569    1860           0.9997       HIGH       5/5
570    557            0.9997       HIGH       5/5
571    79             0.9997       HIGH       5/5
572    1490           0.9997       HIGH       5/5
573    1742           0.9997       HIGH       5/5
574    467            0.9997       HIGH       5/5
575    191            0.9997       HIGH       5/5
576    871            0.9997       HIGH       5/5
577    671            0.9997       HIGH       5/5
578    1792           0.9997       HIGH       5/5
579    100            0.9997       HIGH       5/5
580    474            0.9997       HIGH       5/5
581    752            0.9997       HIGH       5/5
582    263            0.9997       HIGH       5/5
583    1131           0.9997       HIGH       5/5
584    532            0.9997       HIGH       5/5
585    1638           0.9997       HIGH       5/5
586    984            0.9997       HIGH       5/5
587    355            0.9997       HIGH       5/5
588    884            0.9997       HIGH       5/5
589    1668           0.9997       HIGH       5/5
590    567            0.9997       HIGH       5/5
591    394            0.9997       HIGH       5/5
592    282            0.9997       HIGH       5/5
593    348            0.9997       HIGH       5/5
594    409            0.9997       HIGH       5/5
595    58             0.9997       HIGH       5/5
596    257            0.9997       HIGH       5/5
597    565            0.9997       HIGH       5/5
598    644            0.9997       HIGH       5/5
599    491            0.9997       HIGH       5/5
600    655            0.9997       HIGH       5/5
601    1950           0.9997       HIGH       5/5
602    229            0.9997       HIGH       5/5
603    228            0.9997       HIGH       5/5
604    749            0.9997       HIGH       5/5
605    296            0.9997       HIGH       5/5
606    327            0.9997       HIGH       5/5
607    1115           0.9997       HIGH       5/5
608    1568           0.9997       HIGH       5/5
609    909            0.9997       HIGH       5/5
610    555            0.9997       HIGH       5/5
611    788            0.9997       HIGH       5/5
612    530            0.9997       HIGH       5/5
613    701            0.9997       HIGH       5/5
614    319            0.9997       HIGH       5/5
615    1211           0.9997       HIGH       5/5
616    483            0.9997       HIGH       5/5
617    389            0.9997       HIGH       5/5
618    1974           0.9997       HIGH       5/5
619    1761           0.9997       HIGH       5/5
620    853            0.9997       HIGH       5/5
621    1857           0.9997       HIGH       5/5
622    704            0.9997       HIGH       5/5
623    961            0.9997       HIGH       5/5
624    401            0.9997       HIGH       5/5
625    1483           0.9997       HIGH       5/5
626    817            0.9997       HIGH       5/5
627    864            0.9997       HIGH       5/5
628    412            0.9997       HIGH       5/5
629    935            0.9997       HIGH       5/5
630    633            0.9997       HIGH       5/5
631    578            0.9997       HIGH       5/5
632    200            0.9997       HIGH       5/5
633    1561           0.9997       HIGH       5/5
634    37             0.9997       HIGH       5/5
635    1514           0.9997       HIGH       5/5
636    277            0.9997       HIGH       5/5
637    6              0.9997       HIGH       5/5
638    10             0.9997       HIGH       5/5
639    1600           0.9997       HIGH       5/5
640    861            0.9997       HIGH       5/5
641    697            0.9997       HIGH       5/5
642    379            0.9997       HIGH       5/5
643    1711           0.9996       HIGH       5/5
644    215            0.9996       HIGH       5/5
645    1687           0.9996       HIGH       5/5
646    460            0.9996       HIGH       5/5
647    712            0.9996       HIGH       5/5
648    1949           0.9996       HIGH       5/5
649    1954           0.9996       HIGH       5/5
650    822            0.9996       HIGH       5/5
651    332            0.9996       HIGH       5/5
652    1478           0.9996       HIGH       5/5
653    933            0.9996       HIGH       5/5
654    1796           0.9996       HIGH       5/5
655    762            0.9996       HIGH       5/5
656    418            0.9996       HIGH       5/5
657    279            0.9996       HIGH       5/5
658    1584           0.9996       HIGH       5/5
659    118            0.9996       HIGH       5/5
660    1274           0.9996       HIGH       5/5
661    1068           0.9996       HIGH       5/5
662    151            0.9996       HIGH       5/5
663    816            0.9996       HIGH       5/5
664    453            0.9996       HIGH       5/5
665    252            0.9996       HIGH       5/5
666    459            0.9996       HIGH       5/5
667    1970           0.9996       HIGH       5/5
668    1858           0.9996       HIGH       5/5
669    354            0.9996       HIGH       5/5
670    247            0.9996       HIGH       5/5
671    595            0.9996       HIGH       5/5
672    689            0.9996       HIGH       5/5
673    260            0.9996       HIGH       5/5
674    845            0.9996       HIGH       5/5
675    376            0.9996       HIGH       5/5
676    1737           0.9996       HIGH       5/5
677    806            0.9996       HIGH       5/5
678    622            0.9996       HIGH       5/5
679    378            0.9996       HIGH       5/5
680    1712           0.9996       HIGH       5/5
681    721            0.9996       HIGH       5/5
682    295            0.9996       HIGH       5/5
683    1065           0.9996       HIGH       5/5
684    1150           0.9996       HIGH       5/5
685    1655           0.9996       HIGH       5/5
686    275            0.9996       HIGH       5/5
687    898            0.9996       HIGH       5/5
688    778            0.9996       HIGH       5/5
689    1745           0.9996       HIGH       5/5
690    1630           0.9996       HIGH       5/5
691    216            0.9996       HIGH       5/5
692    1876           0.9996       HIGH       5/5
693    1226           0.9996       HIGH       5/5
694    607            0.9996       HIGH       5/5
695    579            0.9996       HIGH       5/5
696    1698           0.9996       HIGH       5/5
697    1780           0.9996       HIGH       5/5
698    839            0.9996       HIGH       5/5
699    298            0.9996       HIGH       5/5
700    447            0.9996       HIGH       5/5
701    1025           0.9996       HIGH       5/5
702    877            0.9996       HIGH       5/5
703    612            0.9996       HIGH       5/5
704    1460           0.9996       HIGH       5/5
705    522            0.9996       HIGH       5/5
706    1272           0.9996       HIGH       5/5
707    515            0.9996       HIGH       5/5
708    838            0.9996       HIGH       5/5
709    1449           0.9996       HIGH       5/5
710    1443           0.9996       HIGH       5/5
711    1846           0.9996       HIGH       5/5
712    918            0.9996       HIGH       5/5
713    1653           0.9996       HIGH       5/5
714    1799           0.9996       HIGH       5/5
715    617            0.9996       HIGH       5/5
716    1886           0.9996       HIGH       5/5
717    948            0.9996       HIGH       5/5
718    208            0.9996       HIGH       5/5
719    309            0.9996       HIGH       5/5
720    601            0.9996       HIGH       5/5
721    758            0.9996       HIGH       5/5
722    867            0.9996       HIGH       5/5
723    246            0.9996       HIGH       5/5
724    1406           0.9996       HIGH       5/5
725    552            0.9996       HIGH       5/5
726    833            0.9996       HIGH       5/5
727    647            0.9996       HIGH       5/5
728    212            0.9996       HIGH       5/5
729    761            0.9996       HIGH       5/5
730    417            0.9996       HIGH       5/5
731    199            0.9996       HIGH       5/5
732    386            0.9996       HIGH       5/5
733    1762           0.9996       HIGH       5/5
734    1720           0.9996       HIGH       5/5
735    1532           0.9996       HIGH       5/5
736    746            0.9996       HIGH       5/5
737    329            0.9996       HIGH       5/5
738    1703           0.9996       HIGH       5/5
739    316            0.9996       HIGH       5/5
740    673            0.9996       HIGH       5/5
741    265            0.9996       HIGH       5/5
742    1442           0.9996       HIGH       5/5
743    908            0.9996       HIGH       5/5
744    562            0.9996       HIGH       5/5
745    714            0.9996       HIGH       5/5
746    634            0.9996       HIGH       5/5
747    472            0.9996       HIGH       5/5
748    1126           0.9996       HIGH       5/5
749    334            0.9996       HIGH       5/5
750    196            0.9996       HIGH       5/5
751    865            0.9996       HIGH       5/5
